num,polygon
4,"[[18.4, 0.92], [38.46, 1.84], [55.66, 0.0], [57.7,4.95], [62.68, 6.9], [74.0, 6.9], [74.94, 16.1], [74.94, 6.9], [81.88, 6.21], [81.88, 6.9], [86.02, 21.85],[83.18,23.17],[81.88,26.22],[81.88,33.58],[74.94,33.58],[74.94,35.72],[0,35.72],[0,16.1],[0.86,13.34],[2.76,10.58],[5.52,8.74],[11.96,5.98]]"
4,"[[0.0, 0.0], [69.92, 0.0], [68.94, 4.6], [70.84, 8.28],[74.0,11.04],[68.94,28.75],[61.63,28.29],[54.52,27.37],[52.44,28.52],[51.57,30.82],[51.57,33.81],[34.5,31.82],[14.6,32.82],[11.96,28.98],[8.28,26.22],[4.32,25.0],[2.76,24.47],[0.74,22.31],[0,18.08]]"
4,"[[0.92, 11.04], [11.63, 6.44], [22.34, 3.22], [33.05,0.92], [43.76,0], [47.86, 8.74], [53.59, 16.56], [58.88, 24.38], [62.56, 33.12], [59.33, 42.78], [53.36, 50.96],[48.65,58.32],[43.76,66.4],[33.05,65.52],[22.34,63.18],[11.63,59.8],[0.92,54.72],[0.23,49.68],[0,43.68],[0.23,37.68],[0.92,33.12]]"
2,"[[0, 0.0], [26.68, 0], [26.68, 6.44], [26.5,6.44], [26.11,7.73], [25.58, 8.09], [24.72, 8.28], [1.84, 8.28], [1.06, 8.09], [0.54, 7.73], [0.18, 7.22],[0,6.44]]"
4,"[[0, 1.84], [9.2, 0], [8.74, 4.6], [8.51,9.2], [8.28,20.24], [0.92, 20.24], [0.69, 9.2], [0.46, 4.6]]"
4,"[[17.6, 0.88], [36.78, 1.76], [53.33, 0.0], [55.19,4.73], [59.93, 6.6], [70.68, 6.6], [71.56, 15.4], [71.56, 6.6], [78.32, 5.94], [78.32, 6.6], [82.28, 20.9],[79.56,22.19],[78.32,25.08],[78.32,32.34],[71.56,32.34],[71.56,34.32],[0,34.32],[0,15.4],[0.83,12.54],[2.64,9.79],[5.28,7.94],[11.44,5.39]]"
4,"[[0.0, 0.0], [66.88, 0.0], [65.89, 4.38], [67.72, 8.1],[70.7,10.92],[65.89,28.38],[58.91,27.9],[52.13,26.94],[50.05,28.05],[49.21,30.34],[49.21,33.24],[32.99,31.35],[13.95,32.34],[11.44,28.6],[7.92,25.85],[4.13,24.63],[2.64,24.1],[0.7,21.96],[0,17.48]]"
4,"[[0.88, 10.56], [11.11, 6.16], [21.34, 3.08], [31.57,0.88], [41.8,0], [45.78, 8.36], [51.26, 15.84], [56.32, 23.32], [59.84, 31.68], [56.74, 41.36], [51.04, 49.28],[46.53,56.4],[41.8,64.24],[31.57,63.36],[21.34,61.05],[11.11,57.8],[0.88,53.04],[0.22,47.52],[0,42.24],[0.22,36.96],[0.88,31.68]]"
2,"[[0, 0.0], [25.52, 0], [25.52, 6.16], [25.34,6.16], [24.97,7.41], [24.45, 7.74], [23.65, 7.92], [1.76, 7.92], [1.02, 7.74], [0.52, 7.41], [0.18, 6.9],[0,6.16]]"
4,"[[0, 1.76], [8.8, 0], [8.36, 4.38], [8.14,8.8], [7.92,19.36], [0.88, 19.36], [0.66, 8.8], [0.44, 4.38]]"
